Time,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5
13.06666667,0.019590526,-3.06E-05,0.01828464,-0.008135978,0.001688453
13.1,0.019504039,-2.97E-05,0.019985775,-0.00815291,0.005446042
13.13333333,0.019103484,-2.79E-05,0.02133156,-0.008019841,0.009050712
13.16666667,0.018401278,-2.51E-05,0.022307479,-0.007742858,0.012448644
13.2,0.017414474,-2.17E-05,0.022905301,-0.007330543,0.015590277
13.23333333,0.016164404,-1.77E-05,0.023123078,-0.00679375,0.018431011
13.26666667,0.014676256,-1.32E-05,0.022965043,-0.006145353,0.020931823
13.3,0.012978601,-8.49E-06,0.02244141,-0.005399962,0.023059775
13.33333333,0.011102869,-3.69E-06,0.021568082,-0.00457361,0.024788424
13.36666667,0.009082795,1.01E-06,0.020366266,-0.003683421,0.02609811
13.4,0.006953825,5.47E-06,0.018862021,-0.002747278,0.02697614
13.43333333,0.00475252,9.54E-06,0.017085729,-0.001783466,0.027416849
13.46666667,0.002515939,1.31E-05,0.015071511,-0.000810334,0.027421556
13.5,0.000281033,1.61E-05,0.012856598,0.000154045,0.026998405
13.53333333,-0.001915951,1.83E-05,0.01048066,0.001092201,0.0261621
13.56666667,-0.00404005,1.99E-05,0.007985116,0.001987567,0.024933548
13.6,-0.006058125,2.07E-05,0.005412428,0.002824768,0.023339404
13.63333333,-0.007939365,2.07E-05,0.002805397,0.003589867,0.021411535
13.66666667,-0.009655754,2.00E-05,0.000206468,0.004270589,0.019186419
13.7,-0.011182466,1.87E-05,-0.002342946,0.004856505,0.016704477
13.73333333,-0.012498219,1.68E-05,-0.004803105,0.005339176,0.014009357
13.76666667,-0.013585557,1.44E-05,-0.007136539,0.00571226,0.011147188
13.8,-0.014431061,1.16E-05,-0.009308603,0.00597158,0.0081658
13.83333333,-0.015025503,8.60E-06,-0.011287966,0.006115143,0.005113948
13.86666667,-0.015363914,5.39E-06,-0.013047041,0.006143125,0.00204052
13.9,-0.015445589,2.15E-06,-0.014562343,0.006057818,-0.001006222
13.93333333,-0.015274028,-1.02E-06,-0.015814776,0.005863532,-0.003979392
13.96666667,-0.014856795,-4.01E-06,-0.016789838,0.005566469,-0.006834179
14,-0.014205324,-6.72E-06,-0.017477755,0.005174565,-0.009528507
14.03333333,-0.013334663,-9.08E-06,-0.017873531,0.004697299,-0.012023636
14.06666667,-0.012263158,-1.10E-05,-0.017976924,0.004145487,-0.014284697
14.1,-0.011012098,-1.25E-05,-0.017792346,0.003531045,-0.016281157
14.13333333,-0.009605309,-1.35E-05,-0.017328693,0.00286675,-0.017987202
14.16666667,-0.008068716,-1.39E-05,-0.016599103,0.002165983,-0.019382047
14.2,-0.006429885,-1.39E-05,-0.015620657,0.001442467,-0.020450149
14.23333333,-0.004717534,-1.34E-05,-0.014414025,0.000710013,-0.021181347
14.26666667,-0.002961048,-1.24E-05,-0.013003056,-1.77E-05,-0.021570904
14.3,-0.001189979,-1.11E-05,-0.011414335,-0.000727572,-0.021619471
14.33333333,0.000566441,-9.45E-06,-0.009676705,-0.001406904,-0.021332965
14.36666667,0.002279769,-7.55E-06,-0.007820757,-0.002044025,-0.020722368
14.4,0.003922808,-5.48E-06,-0.005878314,-0.002628278,-0.019803455
14.43333333,0.005470032,-3.32E-06,-0.0038819,-0.003150234,-0.018596448
14.46666667,0.006897966,-1.14E-06,-0.001864213,-0.00360183,-0.017125615
14.5,0.008185539,9.72E-07,0.000142395,-0.003976491,-0.015418808
14.53333333,0.009314386,2.95E-06,0.00210642,-0.004269206,-0.013506964
14.56666667,0.010269091,4.74E-06,0.003997684,-0.00447659,-0.011423562
14.6,0.011037394,6.28E-06,0.005787783,-0.0045969,-0.009204053
14.63333333,0.011610323,7.53E-06,0.007450494,-0.004630034,-0.006885278
14.66666667,0.011982284,8.46E-06,0.008962143,-0.004577489,-0.00450487
14.7,0.012151089,9.06E-06,0.010301925,-0.004442294,-0.00210066
14.73333333,0.012117923,9.32E-06,0.011452165,-0.004228923,0.000289908
14.76666667,0.01188726,9.24E-06,0.012398537,-0.003943173,0.002630345
14.8,0.011466727,8.85E-06,0.013130216,-0.003592029,0.004885657
14.83333333,0.010866919,8.17E-06,0.013639973,-0.003183506,0.00702285
14.86666667,0.010101163,7.24E-06,0.013924217,-0.002726478,0.009011396
14.9,0.009185249,6.11E-06,0.013982977,-0.002230494,0.01082365
14.93333333,0.008137119,4.82E-06,0.013819824,-0.001705587,0.012435216
14.96666667,0.006976534,3.42E-06,0.013441745,-0.001162079,0.01382525
15,0.00572471,1.98E-06,0.012858963,-0.000610384,0.014976715
15.03333333,0.004403942,5.31E-07,0.012084712,-6.08E-05,0.015876554
